BALAJI (BLUWIN BLINDS),,,,,
SNo,TEXTURE,OPEN TYPE,PELMET,OPEN TYPE,PELMET
1,DIMOUT SERIES,45,70,100,156
2,ECO SERIES,50,70,112,156
3,JUTE SERIES,55,75,124,168
4,KHAKI DIMOUT,60,80,134,180
5,TEXTURE DIMOUT,60,80,134,180
6,SUN SCREEN,60,80,134,180
7,WATER FALL,60,80,134,180
8,SUN BLACKOUT,60,80,134,180
9,CIRCLE BLACKOUT,60,80,134,180
10,PLAIN BLACKOUT,60,80,134,180
11,CUBE BLACKOUT,60,80,134,180
12,LEAF BLACKOUT,70,90,156,202
13,CLOUD BLACKOUT,70,90,156,202
14,BAY LEAF,70,90,156,202
15,HONEY COMB,70,90,156,202
16,SQUARE BLACKOUT,70,90,156,202
17,MAGIC BLACKOUT,70,90,156,202
18,CHAIN BLACKOUT,70,90,156,202
19,LINEN BLACKOUT,70,90,156,202
20,GD BOOK,80,100,180,224
21,SSG VOLU 1&2,100,120,224,268
,,,,,
SNo,Model,Cost,,Cost,
1,BW-  A SERIES,95,,213,
2,BW- B SERIES,125,,280,
3,BW- C SERIES  ,145,,325,
4,BW- D SERIES            ,180,,403,