FINE DECOR,,,,
SNo,Collection,Design,Cut Price,MRP
1,DEXTER,MIRACLE,355,932
,,BULBUL,246,646
,,HERO ,223,585
2,DRAGON FLY ,BLINK MAIN,395,1037
,,BLINK SHEER,295,774
,,SHIMMER,350,919
3,DYNASTY,LISBON,340,893
,,LISBON EMB,346,908
,,ORCHID EMB,335,879
,,MOSCOW,273,717
,,ZING EMB,365,958
,,ELSA EMB,380,998
5,DILL LINEN,LAVENDER,355,932
,,HERO ,223,585
6,MONT BLANC,NORTH STAR,375,984
,,HERO ,223,585
,,BENTLEY,239,627
,,SENORITA,337,885
,,BLINK MAIN,395,1037
7,DUNE LINEN,CREDO,350,919
,,HERO ,223,585
,,CREDO FOILING,461,1210
,,HOME STITCH,313,822
8,DIOR,HANGOUT,307,806
,,HERO ,223,585
,, MOSCOW,273,717
,,SENORITA,337,885
,,SPARKLE,336,882
,,BLINK MAIN,395,1037
,,BENTLEY,239,627
10,JASMINE,ORCHID,396,1040
,,BENTLEY,239,627
,, SENORITA,337,885
11,PLAIN SERIES - I,SANCHI,345,906
,,VOLGA,315,827
,,CREDO,350,919
,,ZURICH,330,866
,,DELSEY  - 01,356,935
,,DELSEY  - 02,419,1100
12,PLAIN SERIES - 2,LAVENDER,355,932
,,SARANG,320,840
,,BENTLEY,239,627
,,SENORITA,337,885
,,AMAZON,307,806
13,ICONIC PRINT,ICONIC,335,879
,,AMAZON,302,793
,,SKY,237,622
,,BLINK MAIN ,395,1037
14,CELIA,CELIA,335,879
,,SKY,223,585
15,HESTIA,EVA,368,966
,,MOSCOW,390,1024
,,BULBUL,246,646
,,HERO ,223,585
16,KAVERI,KAVERI,312,819
,,SARANG,320,840
,,SKY,235,617
,,ZURICH,330,866
17,DIVA NIGHT,NIKETAN,216,567
,,BULBUL,246,646
,,HERO ,223,585
1,DELTIN,DELTIN,295,774
,,MOSCOW,273,717
,,SKY,235,617
,,AMAZON,302,793
4,ELEGANT,ELEGANT,175,459
9,GULMARG,BULBUL,246,646
,,GULMARG,257,675
,,SKY,235,617
,,MOSCOW,273,717
,,GULMARG EMB,290,761
13,SELTOS,SELTOS,346,908
,,SELTOS EMB,381,1000
19,OPEL,OPEL,384,1008
,,OPEL SHEER,197,517
20,REGAL-2,REGAL-2,175,459