HARIT GROUP - NM HOME,,,,
SR NO.,QUALITY,Price Code,CUT Price,MRP
1,ADAM,,236,620
2,ALLEN,A,394,1034
,,B,292,767
3,AXOR @,A,362,950
,,B,351,921
4,BERLIN,,284,746
5,CELIO,A,383,1005
,,B,341,895
,,C,261,685
6,CLEAR @,A,278,730
,,B,257,675
,,C,197,517
,,D,378,992
,,E,305,801
,,F,419,1100
,,G,261,685
,,H,425,1116
,,1,287,753
,,J,314,824
,,K,257,675
7,DIMOUT,,198,520
8,EDEN,A,225,591
9,ELEMENTO @-,A,345,906
,,B,362,950
,,C,378,992
,,D,278,730
10,EURO,A,260,683
11,EVOKE @',A,278,730
,,B,362,950
,,C,257,675
12,FIBER @,A,236,620
,,B,236,620
13,GEMS,A,378,992
,,B,257,675
,,C,504,1323
14,KARIAS,A,404,1061
,,B,323,848
15,KGF,A,336,882
,,B,480,1260
,,C,404,1061
,,D,504,1323
16,KORA,,144,378
17,LIVING @,A,257,675
,,B,257,675
18,MADRID,,353,927
19,MANDY @'-,,389,1021
20,MARIA,,221,580
21,MARK,A,353,927
,,B,292,767
22,MARS,,265,696
23,MEGA SHOW @',A,357,937
,,B,284,746
,,C,289,759
,,D,368,966
,,E,341,895
24,NASA,A,284,746
,,B,284,746
,,C,292,767
25,NOVA,A,281,738
,,B,292,767
26,OCEAN @'-,A,265,696
,,B,284,746
,,C,323,848
27,PLUTO,A,265,696
,,B,289,759
28,RIVERA,A,215,564
29,RIVONA @,A,205,538
,,B,210,551
30,ROMO,,236,620
31,SELIN,A,368,966
,,B,357,937
,,C,247,648
32,SOFT TOUCH,,221,580
33,TIARA @â€¢,A,320,840
,,B,357,937
,,C,257,675
34,TULIP,A,235,617
35,VALUE,A,185,486
,,B,210,551
36,VICTORY,,210,551
37,WEDDING @'-,,326,856
38,WINNER,,210,551
39,WOODS,,,0
40,ZARA,A,375,984
,,B,281,738