PURPLE MAZE,,,
SR NO,COLLECTION,CUT RATE,CUT RATE
1,AK-47,325,853
2,ALLURE PANELS-01,,0
,A) LINEN,395,1037
,B) LUKE,300,788
3,ALLURE PANELS-02,,0
,A) GLAMOUR,325,853
,B) SUPERB,325,853
,C) LUKE,300,788
6,ALEXA,210,551
9,BELLA,282,740
10,CIROC,235,617
11,DIOR,260,683
14,EDITORS CUT (1&2),,0
,A) ZAIRE & PARADISE,350,919
,B) STROKE & DASH SHEER,260,683
,C) FARO,420,1103
,D) PROJECT-06,300,788
,E) ZAIRE FOIL,485,1273
15,FIREFLY,,0
,A) ALEXA,210,551
,B) AURELIA,335,879
,C) FESTA,260,683
,D) MOMO,335,879
,E) PROJECT-02,184,483
,F) VERITO,260,683
17,GLAMOROUS,450,1181
19,IMPRESS,,0
,A) IMPRESS,300,788
,B) ALEXA,210,551
20,ICONIC,,0
,A) ICONIC,300,788
,B) ICONIC FOIL,440,1155
,C) ALEXA,210,551
,D) ALEXA FOIL,350,919
22,LINATO,260,683
23,LUCIA,,0
,A) CHAMP SHEER,260,683
,B) STROKE SHEER,260,683
,C) EPIC SHEER,260,683
,D) DASH SHEER,260,683
26,MIRAGE,385,1011
27,NOMADS,275,722
28,NIRVANA 1&2,,0
,A) VERONA,395,1037
,B) KIWI,350,919
,C) LINATO,260,683
,D) BARCODE SHEER,300,788
,E) SHOWSTOPPER CLASSIC,300,788
,F) SHOWSTOPPER GEM,325,853
,G) SHOWSTOPPER MAGNUM,375,984
,H) SHOWSTOPPER MOMENTUM,375,984
29,ORIGINS-01,460,1208
30,ORIGINS-02,,0
,A)ORIGINS-02,350,919
,B)HERRINGBONE SHEER,300,788
,C)ALEXA SHEER,210,551
31,ORIGINS-03,,0
,A) ORIGINS-03,335,879
,B) ALEXA,210,551
32,ORIGINS-04,275,722
33,ORIGINS-05,,0
,A) ORIGINS-05,395,1037
,B) ALEXA,210,551
35,PALETTE,260,683
36,PROJECT-1,150,394
37,PROJECT-2,184,483
40,PROJECT-5,299,785
41,PROJECT-6,299,785
43,PRINT STUDIO,,0
,A) ICE,325,853
,B) SEMI DULL MATTY,325,853
47,SCOTCH,210,551
51,SUNKISSED,,0
,A) MATTY-1,300,788
,B) MATTY-2,300,788
,C) ONISM,275,722
,D) AMOK,275,722
,E) ALEXA,210,551
52,SHOWSTOPPER (1&2),,0
,A) MONUMENT,375,984
,B) TREASURE,375,984
,C) MAGNUM,375,984
,D) GEM,325,853
,C) CLASSIC,300,788
,F) JEWEL,360,945
,G) FRENCH KNOT,360,945
,H) CHAMP SHEER,260,683
,I) EPIC SHEER,260,683
53,TEQUILA,499,1310
54,THE HERRINGBONE CULT (1&2),,0
,A) RIVERA,350,919
,B) TESLA PRINT,395,1037
,C) TESLA PLAIN,395,1037
,C) TESLA HERRINGBONE,395,1037
,D) LINATO,260,683
,E) RIVER FOIL,490,1286
55,TOSCANA,450,1181
59,ZENIA,270,709
62,"BLACKOUT 54""",125,328